entry_id,entry_name,region_id,region_name,region_completed,region_missing
240,Late Medieval Chinese State Religion,1443,Tang China (c. 820),False,False
491,Anglican Church,735,Anglican Communion,False,False
492,Roman Divination,737,Roman Empire,False,False
646,Lakota Religious Traditions,894,Lakota Reservations 2,False,False
751,Buddhism in the Mekong Delta,1005,Bạc Liêu province,False,False
834,The Plum Village Sangha of Thich Nhat Hanh,1003,"Vietnam, Hong Kong, Germany, France, Australia, Thailand, USA",False,False
1026,Temple of Confucius (Kong Temple),1180,Qufu,False,False
1041,Korean Catholicism,1188,Korean Peninsula,False,False
1071,Digital Shinto Communities,1435,Global Digital Shinto Communities Network,False,False
1080,Cheng weishi lun 成唯識論,1426,China (Tang Dynasty),False,False
1254,Stoudios Monastery,1548,"Constantinople, c790-1450CE",False,False
1340,International Sivananda Yoga Vedanta Centers,1493,"Americas, Europe, Asia",False,False
1648,Hosios Loukas,1860,Hosios Loukas,False,False
1780,الطريقة الشاذلية في تونس,1980,البلاد لتونسية,False,False
1786,Temple 2048 of Tell el-Mutesellum/Megiddo,2004,Megiddo,False,False
1873,زاوية سيدي المازري  - Zaouia Sidi Al-Maziri,2019,Zaouia Sidi Al Maziri  -زاوية سيدي المازري بالمنستير - تونس,False,False
2015,الدولة الأغلبية 184-296 هجري,2127,Aghlabid dynasty,False,False
2016,الدولة الفاطمية 909 - 1171م,2130,Fatimid state,False,False
2028,Bulugh Al- Maram min Adillat Al- Ahkam,2125,Mamluk Egypt,False,False
2119,Early populations of the Yucatan Peninsula,2192,"Yucatan Peninsula, Mexico",True,True
2127,Church of the Holy Apostles,2222,The Church of the Holy Apostles,False,False
2143,City of God,2299,Hippo Regius,False,False
2197,Bab edh-Dhra,2258,Bab edh-Dhra,False,False
2237,"Order of Preachers, Dominicans, Friars Preachers, Black Friars, Jacobins",2332,"Belgium, Britain, France, Germany, Ireland, Italy, Portugal, and Spain",False,False
